Ball,Over,BallInOver,Bowler,Striker,NonStriker,Outcome,Runs,TotalRuns,Wickets
93,16,3,"Arshdeep Singh","Axar Patel","Dinesh Karthik",2,2,192,5
94,16,4,"Arshdeep Singh","Axar Patel","Dinesh Karthik",DOT,0,192,5
94,16,4,"Arshdeep Singh","Axar Patel","Axar Patel",WD,1,193,5
95,16,5,"Arshdeep Singh","Dinesh Karthik","Axar Patel",DOT,0,193,5
96,17,0,"Arshdeep Singh","Dinesh Karthik","Axar Patel",1,1,194,5
97,17,1,"Arshdeep Singh","Dinesh Karthik","Axar Patel",DOT,0,194,5
98,17,2,"Arshdeep Singh","Dinesh Karthik","Axar Patel",2,2,196,5
99,17,3,"Arshdeep Singh","Dinesh Karthik","Dinesh Karthik",1,1,197,5
100,17,4,"Arshdeep Singh","Axar Patel","Dinesh Karthik",DOT,0,197,5
101,17,5,"Arshdeep Singh","Axar Patel","Dinesh Karthik",DOT,0,197,5
102,18,0,"Mohammed Siraj","Axar Patel","Axar Patel",2,2,199,5
103,18,1,"Mohammed Siraj","Dinesh Karthik","Axar Patel",4,4,203,5
104,18,2,"Mohammed Siraj","Dinesh Karthik","Dinesh Karthik",1,1,204,5
105,18,3,"Mohammed Siraj","Axar Patel","Dinesh Karthik",RO,0,204,5
106,18,4,"Mohammed Siraj","Axar Patel","Dinesh Karthik",DOT,0,204,5
107,18,5,"Mohammed Siraj","Axar Patel","Dinesh Karthik",6,6,210,5
107,18,5,"Mohammed Siraj","Axar Patel","Axar Patel",WD,1,211,5
108,19,0,"Hardik Pandya","Dinesh Karthik","Axar Patel",1,1,212,5
109,19,1,"Hardik Pandya","Dinesh Karthik","Axar Patel",DOT,0,212,5
110,19,2,"Hardik Pandya","Dinesh Karthik","Axar Patel",4,4,216,5
111,19,3,"Hardik Pandya","Dinesh Karthik","Axar Patel",4,4,220,5
112,19,4,"Hardik Pandya","Dinesh Karthik","Dinesh Karthik",1,1,221,5
112,19,4,"Hardik Pandya","Axar Patel","Axar Patel",WD,1,222,5
113,19,5,"Hardik Pandya","Dinesh Karthik","Dinesh Karthik",1,1,223,5
114,20,0,"Axar Patel","Axar Patel","Dinesh Karthik",1,1,224,5
115,20,1,"Axar Patel","Axar Patel","Dinesh Karthik",DOT,0,224,5
116,20,2,"Axar Patel","Axar Patel","Axar Patel",3,3,227,5
117,20,3,"Axar Patel","Dinesh Karthik","Axar Patel",DOT,0,227,5
118,20,4,"Axar Patel","Dinesh Karthik","Axar Patel",DOT,0,227,5
119,20,5,"Axar Patel","Dinesh Karthik","Axar Patel",6,6,233,5
119,20,5,"Axar Patel","Dinesh Karthik","Dinesh Karthik",WD,1,234,5
120,21,0,"Axar Patel","Axar Patel","Axar Patel",4,4,238,5

# INNINGS 2
Ball,Over,BallInOver,Bowler,Striker,NonStriker,Outcome,Runs,TotalRuns,Wickets
1,1,1,"Jasprit Bumrah","David Warner","David Warner",1,1,1,0
2,1,2,"Jasprit Bumrah","Travis Head","David Warner",4,4,5,0
3,1,3,"Jasprit Bumrah","Travis Head","David Warner",W,0,5,1
4,1,4,"Jasprit Bumrah","Josh Hazlewood","David Warner",4,4,9,1
5,1,5,"Jasprit Bumrah","Josh Hazlewood","Josh Hazlewood",1,1,10,1
6,2,0,"Arshdeep Singh","David Warner","David Warner",DOT,0,10,1
7,2,1,"Arshdeep Singh","Josh Hazlewood","Josh Hazlewood",3,3,13,1
8,2,2,"Arshdeep Singh","David Warner","Josh Hazlewood",4,4,17,1
9,2,3,"Arshdeep Singh","David Warner","Josh Hazlewood",DOT,0,17,1
10,2,4,"Arshdeep Singh","David Warner","Josh Hazlewood",DOT,0,17,1
11,2,5,"Arshdeep Singh","David Warner","Josh Hazlewood",6,6,23,1
12,3,0,"Hardik Pandya","David Warner","David Warner",4,4,27,1
